silhouette,wssse,wssse_per_point,largest_cluster_size,smallest_cluster_size,largest_cluster_ratio,cluster_size_cv,normalized_cluster_entropy,singleton_clusters,small_clusters_lt_10,k,algorithm,iterations,runtime_seconds
0.02024588590751764,20719.203125,1.3418303947283208,358,35,0.023185026876497636,0.46609592302383657,0.9757082611765816,0,0,95,spherical,20,3.4057561000226997
0.018530715360403127,20697.705078125,1.3404381243523735,357,35,0.02312026423159122,0.48267429803725503,0.9743821869959224,0,0,100,spherical,20,3.5637856000103056
0.02054354252031703,20611.509765625,1.3348558879363384,356,35,0.0230555015866848,0.5033429840083397,0.9729962357865395,0,0,105,spherical,20,3.6895262000034563
0.02121576898773057,20541.3125,1.330309727349265,351,32,0.02273168836215271,0.5214021557423634,0.9716209545957093,0,0,110,spherical,20,3.8481039999751374
0.02027931250466817,20470.947265625,1.32575268866168,347,31,0.02247263778252704,0.5229395460384304,0.971949639046138,0,0,115,spherical,20,3.9898237000452355
0.01737381252390985,20432.72265625,1.3232771618580403,343,21,0.022213587202901366,0.5369851984031017,0.9711598992508312,0,0,120,spherical,20,4.094424500013702
0.015478291636629721,20362.01953125,1.3186982404798913,342,20,0.02214882455799495,0.5314904353510699,0.9718864531990598,0,0,125,spherical,20,4.311962299980223
0.0164635252830444,20283.419921875,1.313607921888155,337,19,0.02182501133346286,0.5421364095007076,0.9710851634565996,0,0,130,spherical,20,4.439634100010153
0.018504683237490768,20232.03125,1.3102798555793018,339,27,0.021954536623275695,0.550346973953859,0.9709218760149886,0,0,135,spherical,20,4.633996699994896
0.0184206211897589,20206.328125,1.3086152532219415,336,22,0.02176024868855644,0.5653587465239175,0.9694784572643971,0,0,140,spherical,20,4.696612100000493
0.016759976504759983,20146.21484375,1.3047221581341881,341,25,0.02208406191308853,0.5830763811563761,0.9687292887329431,0,0,145,spherical,20,4.883213399967644
0.016174395667752445,20085.708984375,1.3008036386487274,340,20,0.02201929926818211,0.5782759121167298,0.9693207254432352,0,0,150,spherical,20,4.9849882000125945
0.014106028118610699,20030.548828125,1.297231321036526,337,19,0.02182501133346286,0.5803364457323036,0.9690261703200077,0,0,155,spherical,20,5.192225999955554
0.012420637769353874,20000.89453125,1.295310830338061,333,17,0.021565960753837186,0.5723540642571573,0.9699870669141054,0,0,160,spherical,20,5.23770619998686
0.013407764140234368,19971.1171875,1.2933823707985235,330,17,0.021371672819117934,0.5686718349075375,0.9708900528066627,0,0,165,spherical,20,5.552401799999643
0.014493743206823019,19906.513671875,1.2891984762563953,326,17,0.02111262223949226,0.5675170527369862,0.9713934765422657,0,0,170,spherical,20,5.7833627999643795
0.01331131050917916,19840.48828125,1.284922497328541,328,18,0.021242147529305096,0.5749638921617751,0.9711127247010707,0,0,175,spherical,20,5.810134199971799
0.012092281753213972,19814.09375,1.2832131176737258,275,15,0.017809727349264944,0.5690763256640865,0.9714231157301234,0,0,180,spherical,20,5.842809499998111
0.013343440685312118,19772.8359375,1.2805411526131727,285,14,0.018457353798329124,0.5609651329087154,0.9727866278606863,0,0,185,spherical,20,6.1111300000338815
0.012245101017889686,19711.83984375,1.276590884252963,281,13,0.01819830321870345,0.5684316216843418,0.9723630158922475,0,0,190,spherical,20,6.254606699978467
0.012492165889008451,19663.05859375,1.2734316814811217,270,17,0.017485914124732854,0.5707538692994067,0.9721027940328382,0,0,195,spherical,20,6.3813099000253715
0.009603859221084556,19628.89453125,1.2712191264328736,284,12,0.018392591153422705,0.5646163195941442,0.9725601398117816,0,0,200,spherical,20,6.4621600000537
